time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
71950,5.003881,6.370971,4.918888,0.454851,0.037038,0.078340
72050,5.725733,6.300342,6.236896,0.284582,0.145755,-0.015188
72150,6.878541,6.799533,5.135562,0.347201,0.114312,-0.096726
72250,4.511873,8.781932,3.526659,0.507878,0.068747,-0.403957
72350,1.816002,8.385692,6.902483,0.193185,0.945142,0.369051
72450,3.414132,7.204153,2.070984,0.060221,-0.115645,0.087933
72550,3.232172,7.004237,5.565322,-0.007994,0.201712,0.309629
72650,4.147954,7.426814,4.076128,-0.190254,0.314959,0.075942
72750,4.180276,7.596802,4.724957,-0.219299,0.002398,-0.071678
72850,5.003881,8.877700,4.066552,0.093528,0.083136,0.029311
72950,5.468357,8.081628,7.252037,-0.636579,-1.136729,-0.196916
73050,3.259706,8.000225,7.228095,1.154315,-0.071412,-0.082070
73150,3.608062,5.309142,7.138312,-0.253939,0.138560,0.037571
73250,4.351461,5.577293,3.766079,0.207841,-0.268328,-0.105253
73350,4.295198,5.926847,5.418078,0.460980,0.172934,-0.011991
73450,4.805163,6.345831,5.916072,-0.009060,-0.039703,-0.015455
73550,7.128736,6.386533,3.885789,0.502015,-0.175066,-0.198781
73650,3.875015,11.628637,11.178528,-0.447657,0.191320,0.143357
73750,4.104859,6.628347,6.177041,-0.225427,0.179329,-0.095394
73850,2.740164,7.866150,3.863045,0.115112,0.243547,0.050095
73950,3.257311,6.912060,4.946421,-0.180395,-0.306165,-0.008527
74050,3.991134,6.375759,5.481525,-0.308031,0.238217,-0.043167
74250,5.470751,7.287950,4.944026,-0.231023,-0.225960,-0.069014
74350,4.981137,7.055712,8.196549,-0.481764,-1.107951,-0.150018
74450,3.175909,7.770381,6.936002,0.537455,-0.413550,-0.119375
74550,4.048595,5.026627,7.711724,-0.083936,0.127636,-0.021583
74650,4.092888,5.116409,3.767276,0.374646,0.164141,-0.049029
74750,3.713407,6.027403,5.615600,0.367985,-0.080205,-0.033841
74850,5.262455,6.598420,6.527791,0.091930,-0.188389,-0.034107
74950,7.234080,6.357802,5.013458,0.215035,-0.103920,-0.118309
75050,2.724602,9.660604,5.881356,0.033574,0.054358,-0.036239
75150,2.187103,8.040926,7.046135,-0.096992,0.287513,0.196116
75250,3.661932,7.220912,3.128025,0.054891,0.001865,-0.005862
75350,3.143587,6.769605,5.524621,-0.086334,0.059155,0.139360
75450,4.289212,6.937200,4.732140,-0.112980,0.442328,-0.059155
75550,4.152743,7.396886,4.337096,-0.434067,-0.110582,-0.019452
75650,6.120777,8.898050,4.474763,-0.053559,-0.391966,0.070346
75750,1.759738,6.839037,8.534132,-0.039969,-0.748760,0.137228
75850,5.647922,5.940014,8.252813,-0.059155,-0.696799,-0.344802
75950,3.700239,5.720945,5.297171,0.253939,0.762882,0.004263
76050,3.743334,5.640739,4.417302,0.103121,-0.078606,0.025314
76150,5.087678,5.780800,5.099649,0.440196,-0.037038,-0.109783
76250,4.252102,7.439982,6.876147,0.186524,0.144423,0.046364
76350,7.711724,6.104017,7.351396,0.063418,-0.397562,0.021850
76450,2.983175,7.632715,4.672285,0.186524,0.285381,-0.189455
76550,1.590947,8.827422,7.041347,0.099657,0.486560,0.100723
76650,3.122039,6.151901,3.770868,0.106585,-0.070080,-0.033574
76750,2.612074,7.544129,5.339070,0.004263,-0.017054,-0.030377
76850,4.370615,7.013814,5.115212,-0.323485,0.090864,-0.071945
76950,3.629610,8.009802,4.915296,-0.260334,0.077807,0.022116
77050,4.750096,7.623138,4.411316,-0.174799,-0.284848,-0.111914
77150,2.299631,6.327875,9.361329,-0.394631,-1.289145,-0.323485
77250,4.443638,7.509414,6.607996,0.163608,-0.483363,-0.326683
77450,3.708618,6.059724,4.702212,-0.154815,-0.351730,-0.219032
77550,3.548207,6.020220,5.475539,0.118043,0.061553,-0.252073
77650,3.543418,6.616376,6.294356,-0.003730,-0.248609,-0.324818
77850,2.262521,9.421184,7.235278,-0.118309,-0.525464,-0.332545
77950,1.185130,8.101978,7.333440,-0.003464,-0.310429,-0.406888
78050,2.284068,7.983466,3.246537,-0.046364,-0.695734,-0.466309
78250,3.769670,7.399281,4.892551,-0.131100,-1.014156,-0.650168
78350,3.860650,7.314286,5.582081,-0.537721,-0.640309,-0.415948
78450,4.292804,7.456741,4.929661,-0.452986,-0.501482,-0.309629
78550,4.753687,7.337031,4.309563,-0.416747,-0.569697,-0.224361
78650,2.285265,7.416040,8.159439,-0.299237,-0.955534,-0.243813
78750,6.060922,6.715736,7.274782,-0.055691,-1.024282,-0.519868
78850,3.463213,6.300342,6.646304,-0.028245,0.617660,0.168404
79050,4.763264,6.108806,6.034585,0.142025,0.246211,0.180928
