time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
34753,-1.072602,0.945710,10.576386,0.125237,-0.072478,-0.660560
34853,-0.502782,-0.362722,9.333796,0.147087,0.142824,-0.461779
34953,-1.152808,0.312443,9.227253,-0.017054,0.208640,-0.291243
35053,-0.421380,0.478840,10.225636,0.073011,0.139893,-0.205976
35153,-0.501585,0.160412,9.682152,0.163608,-0.157746,-0.009060
35253,-2.084153,0.484826,9.248801,0.205709,-0.333345,-0.012257
35353,-3.326743,-0.338780,8.170214,0.447923,-0.282717,-0.107651
35453,-0.175974,1.392228,10.405201,0.167871,-0.345868,-0.345602
35553,1.016339,2.325967,10.997766,-0.188389,-0.374113,-0.432735
35653,0.641646,0.434548,8.481460,0.060221,-0.299237,-0.079139
35753,0.979228,0.987608,9.805453,-0.054358,-0.446591,-0.381041
35853,1.380257,1.646014,9.973047,0.128168,-0.221430,-0.156413
35953,0.310049,0.739808,9.126697,0.122573,-0.008527,0.132965
36053,0.502782,1.590947,9.293094,0.409819,0.171868,-0.107651
36153,0.553061,1.568202,10.396821,0.211038,-0.010925,-0.164674
36253,-0.414197,1.326388,9.449914,0.155614,-0.195583,-0.662692
36353,-1.073799,1.618480,9.083601,-0.045299,-0.309363,-1.293675
36453,-1.125275,1.607706,9.516952,-0.090064,-0.095394,-1.582787
36553,-0.496797,2.548628,10.735600,-0.137228,0.131632,-1.530560
36653,1.436521,0.169988,9.148245,-0.006395,0.084469,-1.070913
36753,1.619677,0.622492,10.070012,-0.151884,-0.578490,-0.965127
36853,1.139640,0.459687,8.853758,0.126303,-0.325884,-0.674949
37053,1.052252,-1.103727,9.956287,0.056224,-0.135096,-0.029577
37153,-0.185551,0.691924,9.665392,0.177198,0.158279,0.506279
37253,0.714669,3.824737,10.686520,0.472971,0.107384,0.709590
37353,1.482011,4.304775,8.710106,0.219832,0.073011,0.624055
37453,1.358709,3.295619,8.661025,0.490025,0.038637,0.594478
37553,-0.746991,2.719813,6.898892,0.342138,0.141225,0.380508
37653,0.068235,0.468066,7.237672,0.272058,0.061020,0.098325
37753,4.825513,5.919664,18.944120,-0.020251,-0.887587,-0.069014
37853,-0.612916,7.608773,16.807297,0.293375,-0.148420,0.290711
37953,-2.335544,-1.077391,-2.977190,0.791660,1.049596,0.139093
38053,1.956063,1.357512,2.653973,0.057556,0.326417,-0.032775
38153,0.539892,-0.095768,0.355539,-0.215035,-0.346668,0.440995
38253,-0.978031,1.695095,7.252037,-0.525997,-0.033308,0.427406
38353,3.598485,5.295974,19.612701,-0.502548,-0.649369,0.067415
38453,0.811634,5.285200,19.612701,0.133764,-0.030910,-0.009593
38553,-1.456872,0.682347,-3.309984,0.787663,0.096459,0.150818
38653,-0.980426,0.187945,0.853533,-0.036505,0.260334,-0.345335
38753,1.938106,-0.538695,0.852336,0.264864,0.075942,0.199847
38853,-1.884237,0.630872,0.882263,0.103654,-0.237152,0.017853
38953,0.852336,9.251195,19.612701,-0.236352,0.463378,-0.293109
39053,1.703475,4.478354,19.612701,-0.516138,0.161210,0.171602
39153,-2.541445,1.922544,2.999935,0.748760,-0.086867,0.416747
39353,1.650802,-0.675165,1.181539,0.241948,0.156946,-0.003464
39453,-0.403423,0.882263,-0.368707,-0.148153,-0.552910,0.068481
39553,-1.605312,-0.319626,8.327033,-0.890784,-0.161210,0.115378
39653,2.238579,5.177461,19.612701,-0.049029,-0.381041,0.447124
39753,2.355895,5.870583,19.612701,0.096459,-0.321620,-0.203044
39853,-1.341950,-2.024297,-3.921702,1.203611,0.028245,0.266995
39953,-0.035913,2.865860,1.347936,-0.190521,0.084735,-0.116178
40053,1.211466,-2.843115,1.674744,0.006928,-0.038371,0.444992
40153,-1.934515,2.624045,0.247800,-0.030643,-0.457250,0.170003
40253,2.594118,2.261323,19.612701,-0.472171,0.253672,0.140426
40353,7.253234,1.483208,19.612701,-0.150551,0.217966,0.008260
40453,-2.155979,2.415750,8.651448,0.512141,0.375979,0.346401
40553,0.464475,-3.094506,-3.086126,0.329081,0.086067,-0.081005
40653,0.705092,1.799243,0.719458,0.035440,0.560637,0.061819
40753,-0.827197,-0.654814,-0.025139,-0.069547,-0.063685,-0.056757
40853,-0.196325,1.395820,9.672575,-0.452187,-0.244613,-0.012790
40953,1.365892,5.167884,19.612701,-0.135096,-0.335743,-0.035440
41053,0.118513,3.922899,19.612701,0.229957,0.096992,0.191853
41253,-1.666364,1.264138,0.846350,0.009593,0.165207,-0.084202
41353,1.875857,-1.455675,1.207875,0.444992,0.478567,0.338407
41453,-1.010353,0.565032,0.732626,-0.059688,-0.390900,0.092462
41553,-3.076549,7.247249,19.612701,-0.946208,0.420478,0.096726
41653,-0.784101,1.953669,15.407885,0.439663,-0.178796,0.820704
41753,-0.113725,3.682282,4.957195,0.722380,-0.149485,-0.539853
41853,-0.994791,-0.936133,4.015076,0.029044,0.148420,0.483363
41953,-0.209493,4.692636,9.167398,-0.026646,-0.270459,-0.009593
42053,0.869095,2.986767,12.245145,0.205176,0.031176,0.534257
42153,0.398635,2.770091,8.027759,0.109783,-0.169737,0.676282
