Epoch_TimeStamp,temperature
1677995580000,26.063
1677995640000,26.063
1677995700000,26.063
1677995760000,26.063
1677995820000,26.063
1677995880000,26.063
1677995940000,26.063
1677996000000,26.063
1677996060000,26
1677996120000,26
1677996180000,26
1677996240000,26
1677996300000,26
1677996360000,25.938
1677996420000,25.938
1677996480000,25.938
1677996540000,25.875
1677996600000,25.875
1677996660000,25.875
1677996720000,25.938
1677996780000,25.875
1677996840000,25.938
1677996900000,27.125
1677996960000,30.313
1677997020000,28.563
1677997080000,27.75
1677997140000,27.313
1677997200000,27.125
1677997260000,27
1677997320000,26.938
1677997380000,26.875
1677997440000,26.875
1677997500000,26.938
1677997560000,26.938
1677997620000,26.875
1677997680000,26.938
1677997740000,26.938
1677997800000,27.063
1677997860000,27.063
1677997920000,27.125
1677997980000,27.125
1677998040000,27.125
1677998100000,27.125
1677998160000,27.188
1677998220000,27.188
1677998280000,27.25
1677998340000,27.25
1677998400000,27.25
1677998460000,27.25
1677998520000,27.25
1677998580000,27.313
1677998640000,27.313
1677998700000,27.313
1677998760000,27.25
1677998820000,27.313
1677998880000,27.375
1677998940000,27.438
1677999000000,27.375
1677999060000,27.438
1677999120000,27.375
1677999180000,27.438
1677999240000,27.438
1677999300000,27.438
1677999360000,27.5
1677999420000,27.5
1677999480000,27.5
1677999540000,27.5
1677999600000,27.5
1677999660000,27.5
1677999720000,27.5
1677999780000,27.5
1677999840000,27.5
1677999900000,27.5
1677999960000,27.5
1678000020000,27.5
1678000080000,27.563
1678000140000,27.563
1678000200000,27.563
1678000260000,27.563
1678000320000,27.563
1678000380000,27.563
1678000440000,27.563
1678000500000,27.563
1678000560000,27.563
1678000620000,27.563
1678000680000,27.625
1678000740000,27.688
1678000800000,27.625
1678000860000,27.625
1678000920000,27.688
1678000980000,27.688
1678001040000,27.688
1678001100000,27.688
1678001160000,27.75
1678001220000,27.75
1678001280000,27.813
1678001340000,27.813
1678001400000,27.75
1678001460000,27.813
1678001520000,27.75
1678001580000,27.75
1678001640000,27.75
1678001700000,27.75
1678001760000,27.813
1678001820000,27.813
1678001880000,27.75
1678001940000,27.75
1678002000000,27.75
1678002060000,27.75
1678002120000,27.688
1678002180000,27.75
1678002240000,27.688
1678002300000,27.688
1678002360000,27.688
1678002420000,27.688
1678002480000,27.75
1678002540000,27.75
1678002600000,27.813
1678002660000,27.813
1678002720000,27.813
1678002780000,27.813
1678002840000,27.75
1678002900000,27.813
1678002960000,27.75
1678003020000,27.813
1678003080000,27.75
1678003140000,27.75
1678003200000,27.813
1678003260000,27.813
1678003320000,27.813
1678003380000,27.875
1678003440000,27.875
1678003500000,27.813
1678003560000,27.813
1678003620000,27.813
1678003680000,27.813
1678003740000,27.875
1678003800000,27.875
1678003860000,27.875
1678003920000,27.813
1678003980000,27.813
1678004040000,27.813
1678004100000,27.875
1678004160000,27.875
1678004220000,27.875
1678004280000,27.875
1678004340000,27.875
1678004400000,27.875
1678004460000,27.938
1678004520000,27.875
1678004580000,27.875
1678004640000,27.875
1678004700000,27.938
1678004760000,27.875
1678004820000,27.938
1678004880000,27.938
1678004940000,28
1678005000000,27.938
1678005060000,28
1678005120000,28
1678005180000,27.938
1678005240000,27.938
1678005300000,28
1678005360000,28.063
1678005420000,28
1678005480000,28
1678005540000,28
1678005600000,28
1678005660000,28
1678005720000,28
1678005780000,28
1678005840000,28.063
1678005900000,28
1678005960000,28.063
1678006020000,28.063
1678006080000,28.063
1678006140000,28
1678006200000,28.063
1678006260000,28.063
1678006320000,28.063
1678006380000,28
1678006440000,28.063
1678006500000,28.063
1678006560000,28.063
1678006620000,28.125
1678006680000,28.063
1678006740000,28.063
1678006800000,28.063
1678006860000,28.063
1678006920000,28.125
1678006980000,28.125
1678007040000,28.125
1678007100000,28.125
1678007160000,28.125
1678007220000,28.125
1678007280000,28.125
1678007340000,28.125
1678007400000,28.125
1678007460000,28.125
1678007520000,28.188
1678007580000,28.188
1678007640000,28.25
1678007700000,28.25
1678007760000,28.25
1678007820000,28.188
1678007880000,28.188
1678007940000,28.25
1678008000000,28.188
1678008060000,28.188
1678008120000,28.25
1678008180000,28.25
1678008240000,28.25
1678008300000,28.25
1678008360000,28.188
1678008420000,28.25
1678008480000,28.25
1678008540000,28.25
1678008600000,28.25
1678008660000,28.25
1678008720000,28.25
1678008780000,28.25
1678008840000,28.313
1678008900000,28.25
1678008960000,28.25
1678009020000,28.313
1678009080000,28.313
1678009140000,28.313
1678009200000,28.25
1678009260000,28.313
1678009320000,28.375
1678009380000,28.313
1678009440000,28.313
1678009500000,28.313
1678009560000,28.313
1678009620000,28.313
1678009680000,28.375
1678009740000,28.375
1678009800000,28.375
1678009860000,28.375
1678009920000,28.375
1678009980000,28.375
1678010040000,28.438
1678010100000,28.438
1678010160000,28.438
1678010220000,28.438
1678010280000,28.5
1678010340000,28.438
1678010400000,28.438
1678010460000,28.5
1678010520000,28.5
1678010580000,28.5
1678010640000,28.5
1678010700000,28.438
1678010760000,28.438
1678010820000,28.438
1678010880000,28.438
1678010940000,28.438
1678011000000,28.438
1678011060000,28.438
1678011120000,28.5
1678011180000,28.5
1678011240000,28.375
1678011300000,28.438
1678011360000,28.438
1678011420000,28.438
1678011480000,28.375
1678011540000,28.438
1678011600000,28.375
1678011660000,28.438
1678011720000,28.375
1678011780000,28.375
1678011840000,28.438
1678011900000,28.375
1678011960000,28.438
1678012020000,28.438
1678012080000,28.438
1678012140000,28.5
1678012200000,28.5
1678012260000,28.438
1678012320000,28.5
1678012380000,28.5
1678012440000,28.5
1678012500000,28.5
1678012560000,28.5
1678012620000,28.5
1678012680000,28.5
1678012740000,28.5
1678012800000,28.5
1678012860000,28.5
1678012920000,28.5
1678012980000,28.5
1678013040000,28.438
1678013100000,28.438
1678013160000,28.5
1678013220000,28.438
1678013280000,28.438
1678013340000,28.5
1678013400000,28.5
1678013460000,28.563
1678013520000,28.5
1678013580000,28.563
1678013640000,28.563
1678013700000,28.625
1678013760000,28.625
1678013820000,28.563
1678013880000,28.625
1678013940000,28.625
1678014000000,28.625
1678014060000,28.625
1678014120000,28.625
1678014180000,28.563
1678014240000,28.625
1678014300000,28.625
1678014360000,28.563
1678014420000,28.625
1678014480000,28.688
1678014540000,28.688
1678014600000,28.688
1678014660000,28.625
1678014720000,28.625
1678014780000,28.625
1678014840000,28.688
1678014900000,28.688
1678014960000,28.625
1678015020000,28.688
1678015080000,28.688
1678015140000,28.688
1678015200000,28.688
1678015260000,28.688
1678015320000,28.688
1678015380000,28.75
1678015440000,28.688
1678015500000,28.75
1678015560000,28.75
1678015620000,28.75
1678015680000,28.75
1678015740000,28.75
1678015800000,28.75
1678015860000,28.813
1678015920000,28.813
1678015980000,28.813
1678016040000,28.813
1678016100000,28.813
1678016160000,28.75
1678016220000,28.813
1678016280000,28.813
1678016340000,28.875
1678016400000,28.813
1678016460000,28.813
1678016520000,28.875
1678016580000,28.813
1678016640000,28.813
1678016700000,28.75
1678016760000,28.75
1678016820000,28.688
1678016880000,28.688
1678016940000,28.563
1678017000000,28.5
1678017060000,28.5
1678017120000,28.438
1678017180000,28.375
1678017240000,28.313
1678017300000,28.188
1678017360000,28.063
1678017420000,28
1678017480000,27.938
1678017540000,27.875
1678017600000,27.813
1678017660000,27.688
1678017720000,27.625
1678017780000,27.625
1678017840000,27.563
1678017900000,27.5
1678017960000,27.438
1678018020000,27.375
1678018080000,27.375
1678018140000,27.313
